timestamp;value;measurement_type;axis;axis_label;spot_id;spot_dyid;spot_name;spot_type;spot_rpm;spot_power;spot_model;machine_id;machine_name;battery_level;telemetry_interval;interval_unit;dynamic_range_in_g;data_source;spot_path
2024-06-03 23:48:31+00:00;0.177162305;acceleration;x;axial;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-03 23:48:31+00:00;0.110004216;acceleration;y;horizontal;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-03 23:48:31+00:00;0.169498935;acceleration;z;vertical;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-03 23:58:31+00:00;0.109755024;acceleration;x;axial;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-03 23:58:31+00:00;0.095168628;acceleration;y;horizontal;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-03 23:58:31+00:00;0.117789045;acceleration;z;vertical;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-04 00:08:31+00:00;0.104820006;acceleration;x;axial;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-04 00:08:31+00:00;0.096946441;acceleration;y;horizontal;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-04 00:08:31+00:00;0.120225906;acceleration;z;vertical;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-04 00:18:31+00:00;0.188853562;acceleration;x;axial;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-04 00:18:31+00:00;0.118462205;acceleration;y;horizontal;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
2024-06-04 00:18:31+00:00;0.187873125;acceleration;z;vertical;665b34fd3a18ff728f54e61d;DyL4.02.A1632;LAM;others;1800;;highFrequencyPlus;665b3464f2cadd3f00ff3786;Motor el̩ctrico 1/2 HP Marathon;97;600;SECOND;8;measurements;/willing-copper-fool-11/witty-secretary-criticize-50/plant-arm-administer-72/female-string-devise-79/deranged-list-undertake-48/swanky-marriage-break-49784
